,id,title,description,difficulty,duration_minutes,author_user_id,is_public,metadata,created_at,updated_at
0,5697,Baile fitness,esterilizacion,fácil,62,9,1,"{'calories_estimate': 307, 'equipment': 'dumbbells', 'recommended': True}",2026-03-25 13:50:37,2026-04-03 13:50:37
1,401,Baile fitness,motilada,avanzado,22,10,0,"{'calories_estimate': 100, 'equipment': 'none', 'recommended': True}",2026-03-28 13:50:37,2026-04-06 13:50:37
2,2050,Baile fitness,vacunacion,intermedio,93,11,0,"{'calories_estimate': 614, 'equipment': 'none', 'recommended': True}",2026-04-08 13:50:37,2026-04-16 13:50:37
3,3372,Cardio intenso,esterilizacion,avanzado,86,82,0,"{'calories_estimate': 590, 'equipment': 'full gym', 'recommended': True}",2026-03-15 13:50:37,2026-03-16 13:50:37
4,1188,Entrenamiento funcional,motilada,avanzado,36,24,1,"{'calories_estimate': 684, 'equipment': 'none', 'recommended': True}",2026-03-16 13:50:37,2026-03-26 13:50:37
5,8290,Entrenamiento de fuerza,esterilizacion,avanzado,31,92,1,"{'calories_estimate': 542, 'equipment': 'full gym', 'recommended': True}",2026-04-04 13:50:37,2026-04-10 13:50:37
6,3739,Entrenamiento funcional,desparasitada,avanzado,106,93,1,"{'calories_estimate': 156, 'equipment': 'dumbbells', 'recommended': True}",2026-03-23 13:50:37,2026-03-29 13:50:37
7,9598,Yoga para principiantes,vacunacion,avanzado,120,56,1,"{'calories_estimate': 136, 'equipment': 'full gym', 'recommended': True}",2026-03-31 13:50:37,2026-04-08 13:50:37
8,1945,Cardio intenso,vacunacion,fácil,49,55,1,"{'calories_estimate': 604, 'equipment': 'none', 'recommended': True}",2026-03-26 13:50:37,2026-03-31 13:50:37
9,6675,Cardio intenso,vacunacion,fácil,26,1,1,"{'calories_estimate': 110, 'equipment': 'dumbbells', 'recommended': True}",2026-03-22 13:50:37,2026-03-22 13:50:37
10,4571,Entrenamiento funcional,corte de uñas,fácil,26,99,1,"{'calories_estimate': 454, 'equipment': 'none', 'recommended': True}",2026-04-09 13:50:37,2026-04-19 13:50:37
11,5314,Cardio intenso,esterilizacion,fácil,120,12,0,"{'calories_estimate': 188, 'equipment': 'full gym', 'recommended': False}",2026-03-26 13:50:37,2026-04-04 13:50:37
12,9852,Baile fitness,corte de uñas,intermedio,120,54,0,"{'calories_estimate': 545, 'equipment': 'none', 'recommended': True}",2026-03-27 13:50:37,2026-04-05 13:50:37
13,5236,Cardio intenso,vacunacion,fácil,29,66,1,"{'calories_estimate': 711, 'equipment': 'none', 'recommended': True}",2026-03-28 13:50:37,2026-04-05 13:50:37
14,4758,Entrenamiento de fuerza,esterilizacion,fácil,54,9,0,"{'calories_estimate': 482, 'equipment': 'none', 'recommended': False}",2026-04-08 13:50:37,2026-04-11 13:50:37
15,876,Yoga para principiantes,vacunacion,fácil,83,45,1,"{'calories_estimate': 287, 'equipment': 'full gym', 'recommended': False}",2026-03-30 13:50:37,2026-03-30 13:50:37
