,id,title,description,difficulty,duration_minutes,author_user_id,is_public,metadata,created_at,updated_at
0,4053,Entrenamiento funcional,motilada,intermedio,51,28,0,"{'calories_estimate': 668, 'equipment': 'full gym', 'recommended': True}",2026-05-02 11:37:48,2026-05-06 11:37:48
1,1642,Entrenamiento de fuerza,desparasitada,fácil,13,92,0,"{'calories_estimate': 770, 'equipment': 'full gym', 'recommended': True}",2026-04-20 11:37:48,2026-04-30 11:37:48
2,2282,Yoga para principiantes,motilada,avanzado,56,68,0,"{'calories_estimate': 496, 'equipment': 'none', 'recommended': False}",2026-04-12 11:37:48,2026-04-12 11:37:48
3,5149,Entrenamiento de fuerza,motilada,fácil,12,35,1,"{'calories_estimate': 415, 'equipment': 'none', 'recommended': False}",2026-04-16 11:37:48,2026-04-22 11:37:48
4,7485,Cardio intenso,vacunacion,avanzado,31,78,1,"{'calories_estimate': 509, 'equipment': 'dumbbells', 'recommended': False}",2026-04-02 11:37:48,2026-04-04 11:37:48
5,2863,Baile fitness,corte de uñas,fácil,115,7,1,"{'calories_estimate': 266, 'equipment': 'none', 'recommended': True}",2026-04-22 11:37:48,2026-04-22 11:37:48
6,1242,Entrenamiento funcional,vacunacion,fácil,18,4,1,"{'calories_estimate': 494, 'equipment': 'dumbbells', 'recommended': False}",2026-04-05 11:37:48,2026-04-11 11:37:48
7,570,Entrenamiento funcional,corte de uñas,avanzado,78,63,0,"{'calories_estimate': 663, 'equipment': 'full gym', 'recommended': False}",2026-04-18 11:37:48,2026-04-25 11:37:48
8,7505,Cardio intenso,motilada,intermedio,74,81,1,"{'calories_estimate': 573, 'equipment': 'full gym', 'recommended': False}",2026-04-16 11:37:48,2026-04-26 11:37:48
9,6608,Cardio intenso,motilada,intermedio,41,68,1,"{'calories_estimate': 375, 'equipment': 'dumbbells', 'recommended': True}",2026-04-20 11:37:48,2026-04-26 11:37:48
10,6698,Entrenamiento funcional,vacunacion,avanzado,56,46,0,"{'calories_estimate': 558, 'equipment': 'dumbbells', 'recommended': True}",2026-05-02 11:37:48,2026-05-12 11:37:48
11,6804,Cardio intenso,esterilizacion,intermedio,37,11,1,"{'calories_estimate': 702, 'equipment': 'none', 'recommended': True}",2026-04-26 11:37:48,2026-04-26 11:37:48
12,5286,Entrenamiento de fuerza,corte de uñas,intermedio,108,86,0,"{'calories_estimate': 423, 'equipment': 'dumbbells', 'recommended': False}",2026-04-02 11:37:48,2026-04-03 11:37:48
13,235,Baile fitness,esterilizacion,intermedio,21,95,0,"{'calories_estimate': 758, 'equipment': 'none', 'recommended': True}",2026-04-02 11:37:48,2026-04-08 11:37:48
14,6970,Cardio intenso,corte de uñas,avanzado,85,12,0,"{'calories_estimate': 615, 'equipment': 'full gym', 'recommended': False}",2026-04-23 11:37:48,2026-04-25 11:37:48
15,9318,Entrenamiento de fuerza,desparasitada,intermedio,22,32,1,"{'calories_estimate': 199, 'equipment': 'none', 'recommended': False}",2026-04-08 11:37:48,2026-04-11 11:37:48
16,2685,Baile fitness,desparasitada,avanzado,86,93,0,"{'calories_estimate': 794, 'equipment': 'full gym', 'recommended': True}",2026-04-25 11:37:48,2026-05-03 11:37:48
17,5774,Entrenamiento funcional,motilada,avanzado,84,7,0,"{'calories_estimate': 105, 'equipment': 'full gym', 'recommended': False}",2026-04-19 11:37:48,2026-04-24 11:37:48
18,7569,Yoga para principiantes,desparasitada,fácil,111,68,0,"{'calories_estimate': 721, 'equipment': 'none', 'recommended': True}",2026-04-07 11:37:48,2026-04-07 11:37:48
19,2644,Baile fitness,motilada,avanzado,20,55,0,"{'calories_estimate': 402, 'equipment': 'dumbbells', 'recommended': False}",2026-05-02 11:37:48,2026-05-10 11:37:48
20,5326,Baile fitness,esterilizacion,fácil,112,42,0,"{'calories_estimate': 166, 'equipment': 'full gym', 'recommended': False}",2026-04-12 11:37:48,2026-04-13 11:37:48
21,2880,Yoga para principiantes,motilada,fácil,92,69,1,"{'calories_estimate': 701, 'equipment': 'dumbbells', 'recommended': True}",2026-04-29 11:37:48,2026-05-07 11:37:48
22,9678,Entrenamiento de fuerza,vacunacion,avanzado,58,18,0,"{'calories_estimate': 457, 'equipment': 'full gym', 'recommended': True}",2026-04-24 11:37:48,2026-04-25 11:37:48
23,1669,Entrenamiento funcional,esterilizacion,avanzado,93,85,1,"{'calories_estimate': 371, 'equipment': 'full gym', 'recommended': True}",2026-04-08 11:37:48,2026-04-13 11:37:48
24,1852,Entrenamiento funcional,corte de uñas,intermedio,92,60,0,"{'calories_estimate': 125, 'equipment': 'full gym', 'recommended': True}",2026-04-15 11:37:48,2026-04-23 11:37:48
25,933,Yoga para principiantes,desparasitada,fácil,17,64,1,"{'calories_estimate': 626, 'equipment': 'full gym', 'recommended': False}",2026-05-01 11:37:48,2026-05-03 11:37:48
26,5382,Yoga para principiantes,motilada,intermedio,40,76,0,"{'calories_estimate': 380, 'equipment': 'none', 'recommended': True}",2026-04-02 11:37:48,2026-04-12 11:37:48
27,5144,Entrenamiento funcional,esterilizacion,intermedio,53,5,0,"{'calories_estimate': 412, 'equipment': 'dumbbells', 'recommended': False}",2026-04-19 11:37:48,2026-04-19 11:37:48
28,2181,Entrenamiento de fuerza,esterilizacion,fácil,13,60,0,"{'calories_estimate': 440, 'equipment': 'full gym', 'recommended': False}",2026-04-15 11:37:48,2026-04-21 11:37:48
29,5099,Entrenamiento de fuerza,desparasitada,avanzado,105,8,0,"{'calories_estimate': 730, 'equipment': 'full gym', 'recommended': True}",2026-04-11 11:37:48,2026-04-19 11:37:48
30,4530,Cardio intenso,vacunacion,fácil,69,37,1,"{'calories_estimate': 327, 'equipment': 'none', 'recommended': True}",2026-04-05 11:37:48,2026-04-11 11:37:48
31,8380,Yoga para principiantes,corte de uñas,avanzado,24,48,0,"{'calories_estimate': 787, 'equipment': 'dumbbells', 'recommended': False}",2026-04-12 11:37:48,2026-04-16 11:37:48
32,4340,Entrenamiento funcional,motilada,intermedio,36,58,1,"{'calories_estimate': 560, 'equipment': 'none', 'recommended': True}",2026-04-17 11:37:48,2026-04-18 11:37:48
33,4084,Baile fitness,vacunacion,intermedio,110,50,0,"{'calories_estimate': 711, 'equipment': 'dumbbells', 'recommended': False}",2026-04-14 11:37:48,2026-04-14 11:37:48
34,4346,Entrenamiento de fuerza,esterilizacion,avanzado,50,33,0,"{'calories_estimate': 613, 'equipment': 'full gym', 'recommended': True}",2026-04-11 11:37:48,2026-04-11 11:37:48
35,7198,Entrenamiento de fuerza,vacunacion,fácil,90,18,1,"{'calories_estimate': 261, 'equipment': 'none', 'recommended': True}",2026-04-19 11:37:48,2026-04-20 11:37:48
36,9000,Baile fitness,desparasitada,intermedio,68,65,1,"{'calories_estimate': 758, 'equipment': 'none', 'recommended': True}",2026-04-13 11:37:48,2026-04-21 11:37:48
37,5993,Entrenamiento de fuerza,desparasitada,intermedio,13,67,0,"{'calories_estimate': 634, 'equipment': 'dumbbells', 'recommended': False}",2026-04-08 11:37:48,2026-04-17 11:37:48
38,5221,Entrenamiento funcional,corte de uñas,intermedio,70,9,1,"{'calories_estimate': 351, 'equipment': 'dumbbells', 'recommended': False}",2026-04-21 11:37:48,2026-04-24 11:37:48
39,3795,Cardio intenso,desparasitada,avanzado,75,90,1,"{'calories_estimate': 712, 'equipment': 'none', 'recommended': True}",2026-04-25 11:37:48,2026-05-02 11:37:48
40,1573,Entrenamiento funcional,corte de uñas,avanzado,112,90,1,"{'calories_estimate': 642, 'equipment': 'none', 'recommended': False}",2026-04-26 11:37:48,2026-05-04 11:37:48
41,1706,Yoga para principiantes,motilada,intermedio,60,37,1,"{'calories_estimate': 542, 'equipment': 'full gym', 'recommended': True}",2026-04-25 11:37:48,2026-04-30 11:37:48
42,5706,Yoga para principiantes,vacunacion,avanzado,36,53,0,"{'calories_estimate': 120, 'equipment': 'full gym', 'recommended': True}",2026-04-20 11:37:48,2026-04-26 11:37:48
43,133,Entrenamiento de fuerza,vacunacion,avanzado,21,75,1,"{'calories_estimate': 293, 'equipment': 'dumbbells', 'recommended': True}",2026-04-25 11:37:48,2026-05-03 11:37:48
44,1318,Yoga para principiantes,vacunacion,avanzado,89,97,1,"{'calories_estimate': 433, 'equipment': 'dumbbells', 'recommended': False}",2026-04-24 11:37:48,2026-05-01 11:37:48
45,8923,Entrenamiento de fuerza,vacunacion,intermedio,60,15,0,"{'calories_estimate': 446, 'equipment': 'none', 'recommended': False}",2026-04-04 11:37:48,2026-04-13 11:37:48
46,4226,Entrenamiento de fuerza,desparasitada,fácil,12,92,0,"{'calories_estimate': 717, 'equipment': 'full gym', 'recommended': True}",2026-05-02 11:37:48,2026-05-03 11:37:48
47,8186,Baile fitness,vacunacion,avanzado,73,67,0,"{'calories_estimate': 414, 'equipment': 'none', 'recommended': False}",2026-04-04 11:37:48,2026-04-10 11:37:48
48,2779,Entrenamiento de fuerza,desparasitada,intermedio,92,26,1,"{'calories_estimate': 290, 'equipment': 'dumbbells', 'recommended': True}",2026-04-11 11:37:48,2026-04-11 11:37:48
49,6634,Cardio intenso,esterilizacion,fácil,39,78,0,"{'calories_estimate': 123, 'equipment': 'none', 'recommended': False}",2026-04-20 11:37:48,2026-04-20 11:37:48
50,6942,Entrenamiento funcional,esterilizacion,fácil,112,61,1,"{'calories_estimate': 525, 'equipment': 'dumbbells', 'recommended': False}",2026-04-22 11:37:48,2026-04-25 11:37:48
51,4510,Baile fitness,desparasitada,intermedio,52,23,1,"{'calories_estimate': 392, 'equipment': 'full gym', 'recommended': False}",2026-04-22 11:37:48,2026-04-24 11:37:48
52,1037,Baile fitness,desparasitada,fácil,31,33,0,"{'calories_estimate': 595, 'equipment': 'none', 'recommended': False}",2026-04-15 11:37:48,2026-04-15 11:37:48
53,8783,Entrenamiento funcional,vacunacion,intermedio,48,27,1,"{'calories_estimate': 613, 'equipment': 'full gym', 'recommended': True}",2026-04-30 11:37:48,2026-05-03 11:37:48
54,1718,Entrenamiento de fuerza,esterilizacion,avanzado,39,8,1,"{'calories_estimate': 392, 'equipment': 'none', 'recommended': False}",2026-04-02 11:37:48,2026-04-04 11:37:48
55,9547,Yoga para principiantes,vacunacion,avanzado,12,32,1,"{'calories_estimate': 302, 'equipment': 'dumbbells', 'recommended': False}",2026-04-02 11:37:48,2026-04-12 11:37:48
56,4805,Entrenamiento de fuerza,desparasitada,intermedio,64,82,0,"{'calories_estimate': 413, 'equipment': 'none', 'recommended': True}",2026-04-03 11:37:48,2026-04-08 11:37:48
57,6306,Baile fitness,desparasitada,avanzado,56,22,1,"{'calories_estimate': 657, 'equipment': 'full gym', 'recommended': True}",2026-04-15 11:37:48,2026-04-23 11:37:48
58,8372,Entrenamiento de fuerza,vacunacion,intermedio,60,44,0,"{'calories_estimate': 788, 'equipment': 'none', 'recommended': True}",2026-04-24 11:37:48,2026-04-26 11:37:48
59,9322,Entrenamiento funcional,corte de uñas,avanzado,96,7,1,"{'calories_estimate': 794, 'equipment': 'none', 'recommended': False}",2026-04-05 11:37:48,2026-04-12 11:37:48
60,9243,Entrenamiento funcional,esterilizacion,intermedio,11,9,0,"{'calories_estimate': 392, 'equipment': 'none', 'recommended': True}",2026-04-13 11:37:48,2026-04-17 11:37:48
61,1114,Baile fitness,motilada,avanzado,98,58,1,"{'calories_estimate': 458, 'equipment': 'dumbbells', 'recommended': True}",2026-04-09 11:37:48,2026-04-14 11:37:48
62,9500,Entrenamiento de fuerza,motilada,fácil,63,29,0,"{'calories_estimate': 252, 'equipment': 'none', 'recommended': False}",2026-04-17 11:37:48,2026-04-27 11:37:48
63,4566,Yoga para principiantes,corte de uñas,avanzado,95,5,1,"{'calories_estimate': 490, 'equipment': 'dumbbells', 'recommended': True}",2026-04-12 11:37:48,2026-04-17 11:37:48
64,2212,Entrenamiento de fuerza,motilada,avanzado,81,86,0,"{'calories_estimate': 763, 'equipment': 'none', 'recommended': True}",2026-04-26 11:37:48,2026-05-02 11:37:48
65,7375,Baile fitness,esterilizacion,avanzado,76,98,1,"{'calories_estimate': 470, 'equipment': 'dumbbells', 'recommended': True}",2026-04-12 11:37:48,2026-04-22 11:37:48
66,7128,Entrenamiento funcional,vacunacion,fácil,79,51,0,"{'calories_estimate': 687, 'equipment': 'dumbbells', 'recommended': False}",2026-04-19 11:37:48,2026-04-20 11:37:48
67,3791,Entrenamiento funcional,corte de uñas,avanzado,53,65,0,"{'calories_estimate': 650, 'equipment': 'dumbbells', 'recommended': True}",2026-04-18 11:37:48,2026-04-20 11:37:48
68,104,Entrenamiento de fuerza,vacunacion,intermedio,105,85,1,"{'calories_estimate': 177, 'equipment': 'dumbbells', 'recommended': True}",2026-04-29 11:37:48,2026-05-07 11:37:48
69,7901,Baile fitness,desparasitada,avanzado,37,87,0,"{'calories_estimate': 193, 'equipment': 'full gym', 'recommended': False}",2026-04-24 11:37:48,2026-04-24 11:37:48
70,5576,Baile fitness,corte de uñas,avanzado,114,100,1,"{'calories_estimate': 440, 'equipment': 'none', 'recommended': False}",2026-04-28 11:37:48,2026-05-05 11:37:48
71,6000,Entrenamiento funcional,esterilizacion,avanzado,40,45,0,"{'calories_estimate': 487, 'equipment': 'full gym', 'recommended': True}",2026-04-08 11:37:48,2026-04-14 11:37:48
72,4365,Entrenamiento de fuerza,esterilizacion,intermedio,88,9,1,"{'calories_estimate': 244, 'equipment': 'dumbbells', 'recommended': False}",2026-04-12 11:37:48,2026-04-17 11:37:48
73,7260,Entrenamiento de fuerza,vacunacion,fácil,99,2,0,"{'calories_estimate': 161, 'equipment': 'none', 'recommended': False}",2026-04-19 11:37:48,2026-04-27 11:37:48
74,8969,Yoga para principiantes,motilada,avanzado,78,8,0,"{'calories_estimate': 488, 'equipment': 'none', 'recommended': True}",2026-04-06 11:37:48,2026-04-09 11:37:48
75,2594,Cardio intenso,corte de uñas,intermedio,116,13,1,"{'calories_estimate': 382, 'equipment': 'full gym', 'recommended': False}",2026-04-24 11:37:48,2026-04-25 11:37:48
76,2097,Yoga para principiantes,vacunacion,intermedio,32,87,1,"{'calories_estimate': 370, 'equipment': 'dumbbells', 'recommended': False}",2026-04-11 11:37:48,2026-04-11 11:37:48
77,969,Cardio intenso,esterilizacion,avanzado,82,11,1,"{'calories_estimate': 327, 'equipment': 'none', 'recommended': True}",2026-04-09 11:37:48,2026-04-16 11:37:48
78,4184,Cardio intenso,motilada,avanzado,108,86,0,"{'calories_estimate': 672, 'equipment': 'none', 'recommended': False}",2026-04-14 11:37:48,2026-04-14 11:37:48
79,7211,Entrenamiento funcional,desparasitada,fácil,74,59,1,"{'calories_estimate': 603, 'equipment': 'dumbbells', 'recommended': False}",2026-05-01 11:37:48,2026-05-05 11:37:48
80,5199,Baile fitness,corte de uñas,intermedio,103,40,0,"{'calories_estimate': 177, 'equipment': 'dumbbells', 'recommended': True}",2026-04-25 11:37:48,2026-04-27 11:37:48
81,5012,Baile fitness,desparasitada,avanzado,97,2,0,"{'calories_estimate': 502, 'equipment': 'none', 'recommended': True}",2026-04-04 11:37:48,2026-04-14 11:37:48
82,2076,Cardio intenso,motilada,intermedio,107,21,1,"{'calories_estimate': 334, 'equipment': 'dumbbells', 'recommended': True}",2026-04-19 11:37:48,2026-04-27 11:37:48
83,206,Entrenamiento de fuerza,corte de uñas,avanzado,52,23,0,"{'calories_estimate': 606, 'equipment': 'dumbbells', 'recommended': False}",2026-04-25 11:37:48,2026-04-30 11:37:48
84,9153,Cardio intenso,esterilizacion,intermedio,40,43,1,"{'calories_estimate': 653, 'equipment': 'dumbbells', 'recommended': True}",2026-04-24 11:37:48,2026-04-28 11:37:48
85,6908,Yoga para principiantes,desparasitada,intermedio,73,36,1,"{'calories_estimate': 747, 'equipment': 'dumbbells', 'recommended': True}",2026-05-01 11:37:48,2026-05-09 11:37:48
86,9516,Baile fitness,vacunacion,avanzado,116,89,0,"{'calories_estimate': 593, 'equipment': 'full gym', 'recommended': True}",2026-04-21 11:37:48,2026-05-01 11:37:48
87,4708,Entrenamiento de fuerza,vacunacion,intermedio,110,93,0,"{'calories_estimate': 166, 'equipment': 'full gym', 'recommended': True}",2026-04-30 11:37:48,2026-05-09 11:37:48
88,7252,Yoga para principiantes,esterilizacion,intermedio,69,53,1,"{'calories_estimate': 222, 'equipment': 'full gym', 'recommended': False}",2026-04-15 11:37:48,2026-04-17 11:37:48
89,8183,Cardio intenso,desparasitada,avanzado,97,23,0,"{'calories_estimate': 585, 'equipment': 'full gym', 'recommended': True}",2026-04-12 11:37:48,2026-04-13 11:37:48
90,9394,Baile fitness,motilada,fácil,90,33,0,"{'calories_estimate': 313, 'equipment': 'dumbbells', 'recommended': False}",2026-04-25 11:37:48,2026-05-03 11:37:48
91,9707,Entrenamiento funcional,desparasitada,intermedio,36,14,1,"{'calories_estimate': 554, 'equipment': 'none', 'recommended': False}",2026-04-04 11:37:48,2026-04-12 11:37:48
