,id,usuario,tipo_video,codigo,duracion_min,calorias_quemadas,fecha
0,154,user03,rutina cardio,vid001,19,120,2026-02-12
1,2,user02,yoga,vid003,20,114,2026-01-05
2,177,user01,entrenamiento fuerza,vid002,30,66,2026-01-14
3,105,user02,rutina cardio,vid001,19,186,2026-02-22
4,9,user03,yoga,vid003,20,398,2026-02-15
5,1,user02,yoga,vid003,20,356,2026-02-23
6,115,user04,yoga,vid003,20,340,2026-02-22
7,44,user01,entrenamiento fuerza,vid002,30,354,2026-03-01
8,89,user03,yoga,vid003,20,373,2026-01-30
9,118,user04,yoga,vid003,20,161,2026-01-14
10,154,user02,rutina cardio,vid001,19,193,2026-02-25
11,52,user01,yoga,vid003,20,62,2026-01-05
12,86,user04,entrenamiento fuerza,vid002,30,112,2026-03-03
13,126,user01,rutina cardio,vid001,19,129,2026-01-08
14,8,user03,yoga,vid003,20,296,2026-01-24
15,46,user01,entrenamiento fuerza,vid002,30,377,2026-02-08
16,180,user04,yoga,vid003,20,207,2026-03-03
17,25,user04,entrenamiento fuerza,vid002,30,101,2026-02-04
18,194,user02,entrenamiento fuerza,vid002,30,313,2026-02-08
19,30,user01,rutina cardio,vid001,19,76,2026-01-21
20,109,user01,rutina cardio,vid001,19,344,2026-01-21
21,64,user03,entrenamiento fuerza,vid002,30,88,2026-02-16
22,194,user02,yoga,vid003,20,290,2026-01-05
23,196,user03,rutina cardio,vid001,19,96,2026-01-12
24,1,user02,yoga,vid003,20,50,2026-01-21
25,149,user03,yoga,vid003,20,377,2026-01-13
26,166,user04,yoga,vid003,20,393,2026-02-13
27,190,user02,entrenamiento fuerza,vid002,30,66,2026-01-08
28,22,user04,entrenamiento fuerza,vid002,30,83,2026-01-04
29,34,user02,rutina cardio,vid001,19,60,2026-03-01
30,123,user02,yoga,vid003,20,218,2026-01-10
31,123,user04,rutina cardio,vid001,19,119,2026-02-24
32,105,user01,rutina cardio,vid001,19,255,2026-01-25
33,19,user04,yoga,vid003,20,155,2026-01-31
34,118,user04,yoga,vid003,20,76,2026-02-14
35,21,user04,rutina cardio,vid001,19,306,2026-01-07
36,115,user04,entrenamiento fuerza,vid002,30,222,2026-02-04
37,79,user01,entrenamiento fuerza,vid002,30,264,2026-01-14
38,38,user01,entrenamiento fuerza,vid002,30,210,2026-01-30
39,31,user04,yoga,vid003,20,311,2026-02-15
40,182,user03,rutina cardio,vid001,19,133,2026-02-27
41,1,user04,entrenamiento fuerza,vid002,30,357,2026-02-14
42,32,user01,entrenamiento fuerza,vid002,30,204,2026-01-18
43,200,user04,rutina cardio,vid001,19,165,2026-02-20
44,152,user04,rutina cardio,vid001,19,234,2026-01-19
45,82,user03,rutina cardio,vid001,19,251,2026-02-28
46,138,user01,entrenamiento fuerza,vid002,30,152,2026-01-16
47,42,user01,entrenamiento fuerza,vid002,30,329,2026-01-19
48,103,user01,yoga,vid003,20,373,2026-01-28
49,106,user03,entrenamiento fuerza,vid002,30,193,2026-02-01
50,155,user02,entrenamiento fuerza,vid002,30,184,2026-02-06
51,81,user01,entrenamiento fuerza,vid002,30,241,2026-02-28
52,55,user01,entrenamiento fuerza,vid002,30,194,2026-02-22
53,178,user03,entrenamiento fuerza,vid002,30,304,2026-01-13
54,125,user02,yoga,vid003,20,111,2026-01-16
55,168,user03,yoga,vid003,20,318,2026-02-17
56,2,user02,entrenamiento fuerza,vid002,30,306,2026-02-05
57,8,user03,rutina cardio,vid001,19,394,2026-02-04
58,28,user04,yoga,vid003,20,237,2026-01-04
59,155,user03,entrenamiento fuerza,vid002,30,182,2026-01-08
60,184,user03,yoga,vid003,20,359,2026-01-29
61,192,user01,yoga,vid003,20,334,2026-02-28
62,100,user01,entrenamiento fuerza,vid002,30,297,2026-02-08
63,157,user01,yoga,vid003,20,276,2026-01-16
64,28,user01,yoga,vid003,20,262,2026-02-03
65,85,user04,entrenamiento fuerza,vid002,30,137,2026-03-02
66,69,user03,yoga,vid003,20,173,2026-01-13
67,98,user02,entrenamiento fuerza,vid002,30,171,2026-01-20
68,81,user01,entrenamiento fuerza,vid002,30,58,2026-03-03
69,184,user03,yoga,vid003,20,259,2026-02-05
70,128,user03,rutina cardio,vid001,19,228,2026-02-10
71,1,user03,yoga,vid003,20,255,2026-02-17
72,128,user04,yoga,vid003,20,75,2026-03-02
73,191,user04,yoga,vid003,20,89,2026-02-16
74,98,user02,rutina cardio,vid001,19,240,2026-01-04
75,156,user02,yoga,vid003,20,110,2026-02-12
76,33,user02,entrenamiento fuerza,vid002,30,319,2026-02-06
77,196,user04,rutina cardio,vid001,19,151,2026-02-22
78,22,user03,rutina cardio,vid001,19,141,2026-02-19
79,124,user04,rutina cardio,vid001,19,176,2026-02-13
80,13,user02,yoga,vid003,20,106,2026-01-02
81,64,user02,rutina cardio,vid001,19,330,2026-02-25
82,185,user01,yoga,vid003,20,322,2026-02-15
83,103,user01,yoga,vid003,20,222,2026-01-24
84,91,user03,rutina cardio,vid001,19,139,2026-02-15
85,178,user02,rutina cardio,vid001,19,344,2026-02-06
86,16,user04,rutina cardio,vid001,19,398,2026-01-05
87,118,user03,rutina cardio,vid001,19,275,2026-01-06
88,161,user03,yoga,vid003,20,78,2026-02-23
89,43,user01,entrenamiento fuerza,vid002,30,264,2026-01-16
90,39,user01,yoga,vid003,20,213,2026-01-20
91,166,user02,yoga,vid003,20,376,2026-02-19
92,1,user04,yoga,vid003,20,377,2026-02-09
93,174,user01,yoga,vid003,20,305,2026-02-21
94,113,user04,rutina cardio,vid001,19,278,2026-03-01
95,153,user02,rutina cardio,vid001,19,319,2026-01-10
96,83,user02,yoga,vid003,20,390,2026-02-18
97,36,user03,rutina cardio,vid001,19,290,2026-01-11
98,34,user02,entrenamiento fuerza,vid002,30,181,2026-01-19
99,16,user03,entrenamiento fuerza,vid002,30,52,2026-02-02
100,38,user03,entrenamiento fuerza,vid002,30,208,2026-01-18
101,19,user01,yoga,vid003,20,315,2026-01-27
102,97,user01,yoga,vid003,20,393,2026-01-06
103,189,user04,entrenamiento fuerza,vid002,30,142,2026-01-15
104,20,user03,entrenamiento fuerza,vid002,30,116,2026-01-16
105,42,user01,rutina cardio,vid001,19,263,2026-01-17
106,200,user04,yoga,vid003,20,104,2026-01-09
107,26,user03,entrenamiento fuerza,vid002,30,94,2026-02-10
108,158,user03,entrenamiento fuerza,vid002,30,234,2026-01-11
109,76,user03,entrenamiento fuerza,vid002,30,244,2026-01-31
110,131,user03,entrenamiento fuerza,vid002,30,172,2026-01-22
111,30,user02,rutina cardio,vid001,19,357,2026-01-04
112,196,user01,yoga,vid003,20,293,2026-01-31
113,192,user02,rutina cardio,vid001,19,307,2026-01-25
114,99,user02,entrenamiento fuerza,vid002,30,285,2026-01-30
115,146,user02,yoga,vid003,20,216,2026-01-25
116,35,user01,entrenamiento fuerza,vid002,30,157,2026-01-22
117,175,user02,rutina cardio,vid001,19,82,2026-02-09
118,197,user02,yoga,vid003,20,279,2026-02-23
119,182,user01,rutina cardio,vid001,19,352,2026-01-13
120,140,user02,yoga,vid003,20,272,2026-01-27
121,41,user04,entrenamiento fuerza,vid002,30,165,2026-02-05
122,134,user02,yoga,vid003,20,339,2026-02-13
123,22,user04,entrenamiento fuerza,vid002,30,73,2026-01-09
124,22,user02,yoga,vid003,20,231,2026-02-08
125,107,user04,yoga,vid003,20,54,2026-01-19
126,188,user02,entrenamiento fuerza,vid002,30,398,2026-01-19
127,53,user03,entrenamiento fuerza,vid002,30,352,2026-01-05
128,35,user04,entrenamiento fuerza,vid002,30,193,2026-02-09
129,179,user02,rutina cardio,vid001,19,276,2026-01-08
130,75,user03,yoga,vid003,20,154,2026-01-30
131,185,user03,rutina cardio,vid001,19,341,2026-01-25
132,89,user01,entrenamiento fuerza,vid002,30,117,2026-01-25
133,64,user03,yoga,vid003,20,166,2026-01-29
134,169,user04,yoga,vid003,20,161,2026-02-20
135,111,user03,yoga,vid003,20,176,2026-02-08
136,105,user02,rutina cardio,vid001,19,56,2026-01-19
137,133,user04,yoga,vid003,20,235,2026-02-01
138,18,user02,rutina cardio,vid001,19,223,2026-01-28
139,27,user01,rutina cardio,vid001,19,131,2026-02-02
140,14,user01,entrenamiento fuerza,vid002,30,371,2026-01-05
141,105,user02,yoga,vid003,20,321,2026-02-11
142,41,user03,entrenamiento fuerza,vid002,30,357,2026-01-05
143,2,user04,rutina cardio,vid001,19,158,2026-01-30
144,4,user03,yoga,vid003,20,204,2026-01-26
145,41,user01,rutina cardio,vid001,19,82,2026-02-26
146,9,user03,yoga,vid003,20,147,2026-02-02
147,89,user01,rutina cardio,vid001,19,173,2026-02-02
148,42,user02,entrenamiento fuerza,vid002,30,62,2026-01-17
149,76,user01,yoga,vid003,20,158,2026-02-28
150,130,user02,yoga,vid003,20,310,2026-01-27
151,180,user01,entrenamiento fuerza,vid002,30,260,2026-01-17
152,165,user01,yoga,vid003,20,147,2026-02-02
153,47,user01,yoga,vid003,20,335,2026-01-07
154,186,user04,yoga,vid003,20,238,2026-01-18
155,22,user02,rutina cardio,vid001,19,79,2026-02-08
156,175,user04,rutina cardio,vid001,19,169,2026-01-21
157,37,user03,rutina cardio,vid001,19,124,2026-02-08
158,169,user03,entrenamiento fuerza,vid002,30,217,2026-02-24
159,124,user03,yoga,vid003,20,125,2026-02-13
160,12,user03,entrenamiento fuerza,vid002,30,186,2026-01-18
161,79,user03,yoga,vid003,20,319,2026-02-10
162,117,user01,rutina cardio,vid001,19,50,2026-02-08
163,54,user02,yoga,vid003,20,127,2026-02-07
164,121,user03,entrenamiento fuerza,vid002,30,209,2026-01-20
165,104,user04,entrenamiento fuerza,vid002,30,252,2026-01-18
166,99,user02,yoga,vid003,20,297,2026-01-08
167,197,user02,yoga,vid003,20,190,2026-02-09
168,156,user01,yoga,vid003,20,279,2026-01-07
169,162,user02,entrenamiento fuerza,vid002,30,285,2026-01-08
170,83,user01,yoga,vid003,20,176,2026-01-10
171,41,user02,entrenamiento fuerza,vid002,30,155,2026-02-04
172,136,user04,entrenamiento fuerza,vid002,30,260,2026-01-04
173,110,user04,yoga,vid003,20,182,2026-02-11
174,116,user03,yoga,vid003,20,390,2026-01-22
175,35,user01,rutina cardio,vid001,19,149,2026-01-27
176,2,user03,entrenamiento fuerza,vid002,30,193,2026-02-09
177,176,user04,yoga,vid003,20,142,2026-01-19
178,54,user04,yoga,vid003,20,141,2026-01-17
179,130,user04,yoga,vid003,20,322,2026-02-01
180,105,user04,rutina cardio,vid001,19,200,2026-02-19
181,12,user01,rutina cardio,vid001,19,128,2026-01-04
182,139,user01,entrenamiento fuerza,vid002,30,132,2026-01-28
183,92,user04,yoga,vid003,20,120,2026-02-12
184,25,user04,rutina cardio,vid001,19,261,2026-02-22
185,24,user01,yoga,vid003,20,326,2026-01-13
186,35,user01,entrenamiento fuerza,vid002,30,354,2026-02-11
187,106,user03,entrenamiento fuerza,vid002,30,142,2026-01-02
188,44,user03,rutina cardio,vid001,19,342,2026-03-03
189,148,user04,entrenamiento fuerza,vid002,30,157,2026-01-05
190,80,user03,rutina cardio,vid001,19,323,2026-01-05
191,51,user01,entrenamiento fuerza,vid002,30,189,2026-02-04
192,77,user04,rutina cardio,vid001,19,337,2026-01-05
193,25,user02,yoga,vid003,20,333,2026-02-19
194,37,user02,rutina cardio,vid001,19,112,2026-01-30
195,70,user01,rutina cardio,vid001,19,363,2026-03-03
196,147,user04,entrenamiento fuerza,vid002,30,387,2026-01-24
197,86,user03,rutina cardio,vid001,19,204,2026-01-16
198,106,user03,entrenamiento fuerza,vid002,30,215,2026-02-05
199,63,user03,entrenamiento fuerza,vid002,30,389,2026-02-23
200,180,user01,yoga,vid003,20,101,2026-01-07
201,149,user01,rutina cardio,vid001,19,286,2026-02-06
202,118,user04,yoga,vid003,20,307,2026-02-21
203,107,user03,entrenamiento fuerza,vid002,30,222,2026-01-04
204,128,user03,yoga,vid003,20,292,2026-02-03
205,82,user02,entrenamiento fuerza,vid002,30,306,2026-01-11
206,163,user04,yoga,vid003,20,249,2026-02-23
207,124,user03,yoga,vid003,20,77,2026-01-31
208,169,user04,entrenamiento fuerza,vid002,30,305,2026-02-04
209,123,user03,rutina cardio,vid001,19,55,2026-02-21
210,13,user02,rutina cardio,vid001,19,375,2026-02-20
211,93,user02,entrenamiento fuerza,vid002,30,279,2026-01-12
212,128,user01,yoga,vid003,20,328,2026-02-24
213,170,user04,yoga,vid003,20,97,2026-02-23
214,43,user01,entrenamiento fuerza,vid002,30,163,2026-02-18
215,24,user04,rutina cardio,vid001,19,132,2026-02-11
216,130,user01,yoga,vid003,20,243,2026-01-15
217,173,user01,rutina cardio,vid001,19,119,2026-02-14
218,189,user02,rutina cardio,vid001,19,145,2026-02-28
219,81,user03,rutina cardio,vid001,19,239,2026-01-27
220,19,user03,rutina cardio,vid001,19,248,2026-02-02
221,117,user01,entrenamiento fuerza,vid002,30,299,2026-01-10
222,1,user04,entrenamiento fuerza,vid002,30,193,2026-01-16
